order_no,category_id,status,comment,date_created,date_emailed,date_delivery
DE2932,26,20,"T2025-5 - Martel","2025-06-07 12:00:04","2025-06-07 12:02:19","2025-07-31 12:00:04"
DE2931,26,20,T2025-5,"2025-06-02 13:05:01","2025-06-02 13:12:17","2025-08-05 13:05:01"
DE2930,26,20,"T2025-4 - shop order - K056428","2025-05-28 12:21:31","2025-05-28 12:25:01","2025-06-27 12:21:31"
DE2928,26,20,"T2025-4 - samples for K011111","2025-05-26 12:29:30","2025-05-26 12:30:00","2025-06-09 12:26:14"
DE2927,13,20,"T2025-5 - K011111","2025-05-26 07:18:16","2025-05-26 07:19:04","2025-07-31 07:18:16"
DE2926,26,20,"T2025-4 - ","2025-05-23 14:04:21","2025-05-23 14:08:48","2025-05-23 14:04:20"
DE2925,26,20,"T2025-4 - GT stock ","2025-05-23 12:57:04","2025-05-23 12:58:40","2025-05-23 12:57:04"
DE2923,18,20,"T2025-5  PRIO still miising for order B91036 - K011111","2025-05-22 14:32:47","2025-05-22 14:34:45","2025-07-31 14:32:47"
DE2922,13,20,"T2025-5 - GT stock","2025-05-19 09:21:03","2025-05-19 09:23:01","2025-06-28 09:21:03"
DE2919,26,20,"T2025-4 - K082476","2025-05-13 09:38:53","2025-05-13 09:43:57","2025-05-13 09:38:53"
DE2918,26,20,"T2025-4 - K082505","2025-05-13 07:16:09","2025-05-13 07:16:42","2025-05-13 07:16:09"
DE2915,26,20,"T2025-4 - K055577","2025-05-09 11:51:43","2025-05-09 12:26:33","2025-06-28 11:51:43"
DE2913,18,20,"T2025-6 - K011111","2025-05-07 08:15:25","2025-05-07 08:16:09","2025-08-20 08:15:25"
DE2910,26,20,T2025-4,"2025-05-06 13:37:54","2025-05-26 14:42:20","2025-06-27 13:37:55"
DE2908,18,20,"T2024-4 - all on GT tray","2025-04-30 10:01:37","2025-04-30 10:04:05","2025-06-27 10:01:37"
DE2907,18,20,"T2025-5 - K011111","2025-04-29 09:51:46","2025-04-29 09:52:30","2025-04-29 09:51:46"
DE2906,18,20,"T2025-5 - K011111","2025-04-29 09:29:06","2025-04-29 09:30:21","2025-04-29 09:29:06"
DE2904,26,20,"T2025-4 - shop order - K082311","2025-04-28 09:58:51","2025-04-28 10:00:32","2025-06-24 09:58:51"
DE2903,26,20,"T2025-4 - K082288","2025-04-28 09:47:59","2025-04-28 09:50:03","2025-06-25 09:47:59"
DE2902,21,20,"T2025-4 - K082268","2025-04-28 09:44:21","2025-04-28 09:46:45","2025-06-24 09:44:21"
DE2901,26,20,"T2025-4 - K082328","2025-04-28 09:27:13","2025-04-28 09:28:38","2025-06-23 09:27:13"
DE2898,21,30,"T2025-3 - GT - leave 1pcs each in Bowang as a sample","2025-04-19 07:17:35","2025-04-19 07:19:18","2025-06-20 07:09:23"
DE2897,13,20,"T2025-4 - GT","2025-04-16 07:31:07","2025-04-16 07:34:39","2025-06-20 07:31:07"
DE2892,18,20,"T2025-5 - K011111","2025-04-10 08:18:36","2025-04-10 08:20:10","2025-07-25 08:18:36"
DE2882,13,20,"T2025-3 - K022222","2025-03-31 09:43:20","2025-05-26 14:43:01","2025-03-31 09:43:20"
DE2881,13,20,"T2025-3 - K054813","2025-03-28 15:32:36","2025-03-28 15:36:15","2025-05-30 15:32:36"
DE2880,13,30,"T2025-4 - K011111 tray","2025-03-28 14:34:46","2025-03-28 14:43:07","2025-05-22 14:34:46"
DE2867,26,30,"T2025-3 Gtech","2025-03-19 14:27:41","2025-04-22 11:52:38","2025-05-07 14:27:41"
DE2866,18,20,"T2025-4 - K011111","2025-03-19 12:22:00","2025-03-19 12:23:38","2025-06-19 12:22:00"
DE2844,21,20,"T2025-3 - K011111 tray","2025-03-04 15:13:07","2025-03-04 15:14:34","2025-04-25 15:13:07"
DE2842,18,20,"T2025-4 - K011111","2025-03-03 14:44:08","2025-03-03 14:45:09","2025-06-25 14:44:08"
DE2827,26,20,"T2025-4 - GT stock","2025-02-13 08:30:05","2025-05-12 10:39:19","2025-06-27 08:30:05"
DE2808,18,20,"T2025-3 - K011111","2025-01-28 12:09:12","2025-04-17 07:06:12","2025-01-28 12:09:12"
